participant, trial, beat, response, rt, beat-time
1, 1, 1, f, 0.96, 0.65
1, 1, 2, f, 1.991, 1.9499999
1, 1, 3, f, 2.851, 3.25
1, 1, 4, f, 4.006, 4.5499997
1, 1, 5, f, 5.138, 5.85
1, 2, 1, f, 6.312, 0.65
1, 2, 2, f, 0.471, 1.9499999
1, 2, 3, f, 1.619, 3.25
1, 2, 4, f, 2.899, 4.5499997
1, 2, 5, f, 3.877, 5.85
1, 3, 1, f, 4.88, 0.65
1, 3, 2, f, 6.124, 1.9499999
1, 3, 3, f, 0.335, 3.25
1, 3, 4, f, 1.49, 4.5499997
1, 3, 5, f, 2.432, 5.85
1, 4, 1, f, 3.359, 0.65
1, 4, 2, f, 4.312, 1.9499999
1, 4, 3, f, 5.394, 3.25
1, 4, 4, f, 6.333, 4.5499997
1, 4, 5, f, 0.365, 5.85
1, 5, 1, f, 1.458, 0.65
1, 5, 2, f, 2.618, 1.9499999
1, 5, 3, f, 4.005, 3.25
1, 5, 4, f, 4.99, 4.5499997
1, 5, 5, f, 6.123, 5.85
1, 6, 1, f, 0.31, 0.65
1, 6, 2, f, 1.526, 1.9499999
1, 6, 3, f, 2.58, 3.25
1, 6, 4, f, 3.551, 4.5499997
1, 6, 5, f, 4.653, 5.85
1, 7, 1, f, 5.875, 0.65
1, 7, 2, f, 6.902, 1.9499999
1, 7, 3, f, 1.037, 3.25
1, 7, 4, f, 2.255, 4.5499997
1, 7, 5, f, 3.581, 5.85
1, 8, 1, f, 4.85, 0.65
1, 8, 2, f, 6.203, 1.9499999
1, 8, 3, f, 0.239, 3.25
1, 8, 4, f, 1.46, 4.5499997
1, 8, 5, f, 2.582, 5.85
1, 9, 1, f, 3.857, 0.65
1, 9, 2, f, 5.051, 1.9499999
1, 9, 3, f, 6.143, 3.25
1, 9, 4, f, 0.149, 4.5499997
1, 9, 5, f, 1.437, 5.85
1, 10, 1, f, 2.497, 0.65
1, 10, 2, f, 3.604, 1.9499999
1, 10, 3, f, 4.807, 3.25
1, 10, 4, f, 5.859, 4.5499997
1, 10, 5, f, 0.21, 5.85
