participant, trial, beat, response, rt, beat-time
4, 1, 1, f, 0.36, 0.2
4, 1, 2, f, 0.76, 0.6
4, 1, 3, f, 1.16, 1.0
4, 1, 4, f, 1.56, 1.4000001
4, 1, 5, f, 1.96, 1.8000001
4, 2, 1, f, 0.36, 0.2
4, 2, 2, f, 0.76, 0.6
4, 2, 3, f, 1.16, 1.0
4, 2, 4, f, 1.56, 1.4000001
4, 2, 5, f, 1.96, 1.8000001
4, 3, 1, f, 0.36, 0.2
4, 3, 2, f, 0.76, 0.6
4, 3, 3, f, 1.16, 1.0
4, 3, 4, f, 1.56, 1.4000001
4, 3, 5, f, 1.96, 1.8000001
4, 4, 1, f, 0.36, 0.2
4, 4, 2, f, 0.76, 0.6
4, 4, 3, f, 1.16, 1.0
4, 4, 4, f, 1.56, 1.4000001
4, 4, 5, f, 1.96, 1.8000001
4, 5, 1, f, 0.36, 0.2
4, 5, 2, f, 0.76, 0.6
4, 5, 3, f, 1.16, 1.0
4, 5, 4, f, 1.56, 1.4000001
4, 5, 5, f, 1.96, 1.8000001
4, 6, 1, f, 0.36, 0.2
4, 6, 2, f, 0.76, 0.6
4, 6, 3, f, 1.16, 1.0
4, 6, 4, f, 1.56, 1.4000001
4, 6, 5, f, 1.96, 1.8000001
4, 7, 1, f, 0.36, 0.2
4, 7, 2, f, 0.76, 0.6
4, 7, 3, f, 1.16, 1.0
4, 7, 4, f, 1.56, 1.4000001
4, 7, 5, f, 1.96, 1.8000001
4, 8, 1, f, 0.36, 0.2
4, 8, 2, f, 0.76, 0.6
4, 8, 3, f, 1.16, 1.0
4, 8, 4, f, 1.56, 1.4000001
4, 8, 5, f, 1.96, 1.8000001
4, 9, 1, f, 0.36, 0.2
4, 9, 2, f, 0.76, 0.6
4, 9, 3, f, 1.16, 1.0
4, 9, 4, f, 1.56, 1.4000001
4, 9, 5, f, 1.96, 1.8000001
4, 10, 1, f, 0.36, 0.2
4, 10, 2, f, 0.76, 0.6
4, 10, 3, f, 1.16, 1.0
4, 10, 4, f, 1.56, 1.4000001
4, 10, 5, f, 1.96, 1.8000001
