participant, trial, beat, response, rt, beat-time
5, 1, 1, f, 0.36, 0.2
5, 1, 2, f, 0.76, 0.6
5, 1, 3, f, 1.16, 1.0
5, 1, 4, f, 1.56, 1.4000001
5, 1, 5, f, 1.96, 1.8000001
5, 2, 1, f, 0.36, 0.2
5, 2, 2, f, 0.76, 0.6
5, 2, 3, f, 1.16, 1.0
5, 2, 4, f, 1.56, 1.4000001
5, 2, 5, f, 1.96, 1.8000001
5, 3, 1, f, 0.36, 0.2
5, 3, 2, f, 0.76, 0.6
5, 3, 3, f, 1.16, 1.0
5, 3, 4, f, 1.56, 1.4000001
5, 3, 5, f, 1.96, 1.8000001
5, 4, 1, f, 0.36, 0.2
5, 4, 2, f, 0.76, 0.6
5, 4, 3, f, 1.16, 1.0
5, 4, 4, f, 1.56, 1.4000001
5, 4, 5, f, 1.96, 1.8000001
5, 5, 1, f, 0.36, 0.2
5, 5, 2, f, 0.76, 0.6
5, 5, 3, f, 1.16, 1.0
5, 5, 4, f, 1.56, 1.4000001
5, 5, 5, f, 1.96, 1.8000001
5, 6, 1, f, 0.36, 0.2
5, 6, 2, f, 0.76, 0.6
5, 6, 3, f, 1.16, 1.0
5, 6, 4, f, 1.56, 1.4000001
5, 6, 5, f, 1.96, 1.8000001
5, 7, 1, f, 0.36, 0.2
5, 7, 2, f, 0.76, 0.6
5, 7, 3, f, 1.16, 1.0
5, 7, 4, f, 1.56, 1.4000001
5, 7, 5, f, 1.96, 1.8000001
5, 8, 1, f, 0.36, 0.2
5, 8, 2, f, 0.76, 0.6
5, 8, 3, f, 1.16, 1.0
5, 8, 4, f, 1.56, 1.4000001
5, 8, 5, f, 1.96, 1.8000001
5, 9, 1, f, 0.36, 0.2
5, 9, 2, f, 0.76, 0.6
5, 9, 3, f, 1.16, 1.0
5, 9, 4, f, 1.56, 1.4000001
5, 9, 5, f, 1.96, 1.8000001
5, 10, 1, f, 0.36, 0.2
5, 10, 2, f, 0.76, 0.6
5, 10, 3, f, 1.16, 1.0
5, 10, 4, f, 1.56, 1.4000001
5, 10, 5, f, 1.96, 1.8000001
