participant, trial, beat, response, rt, beat-time
10, 1, 1, f, 967.0, 650.0
10, 1, 2, f, 2130.0, 1949.9999
10, 1, 3, f, 3438.0, 3250.0
10, 1, 4, f, 4756.0, 4549.9995
10, 1, 5, f, 6014.0, 5850.0
10, 2, 1, f, 7321.0, 7150.0
10, 2, 2, f, 8633.0, 8450.0
10, 2, 3, f, 9957.0, 9750.0
10, 2, 4, f, 11219.0, 11049.999
10, 2, 5, f, 12529.0, 12350.0
10, 3, 1, f, 13837.0, 13650.0
10, 3, 2, f, 15110.0, 14950.0
10, 3, 3, f, 16431.0, 16250.0
10, 3, 4, f, 17695.0, 17550.0
10, 3, 5, f, 19010.0, 18850.0
10, 4, 1, f, 20315.0, 20150.0
10, 4, 2, f, 21629.0, 21450.0
10, 4, 3, f, 22955.0, 22750.0
10, 4, 4, f, 24210.0, 24050.0
10, 4, 5, f, 25526.0, 25350.0
10, 5, 1, f, 26837.0, 26650.0
10, 5, 2, f, 28143.0, 27950.0
10, 5, 3, f, 29412.0, 29250.0
10, 5, 4, f, 30719.0, 30550.0
10, 5, 5, f, 32044.998, 31850.0
10, 6, 1, f, 33351.0, 33150.0
10, 6, 2, f, 34613.0, 34450.0
10, 6, 3, f, 35926.0, 35750.0
10, 6, 4, f, 37238.0, 37050.0
10, 6, 5, f, 38550.0, 38350.0
10, 7, 1, f, 39854.0, 39650.0
10, 7, 2, f, 41157.0, 40950.0
10, 7, 3, f, 42455.0, 42250.0
10, 7, 4, f, 43712.0, 43550.0
10, 7, 5, f, 45011.0, 44850.0
10, 8, 1, f, 46359.0, 46150.0
10, 8, 2, f, 47630.0, 47450.0
10, 8, 3, f, 48933.0, 48750.0
10, 8, 4, f, 50243.0, 50050.0
10, 8, 5, f, 51554.0, 51350.0
10, 9, 1, f, 52813.0, 52650.0
10, 9, 2, f, 54122.0, 53950.0
10, 9, 3, f, 55413.0, 55250.0
10, 9, 4, f, 56749.0, 56550.0
10, 9, 5, f, 58042.0, 57850.0
10, 10, 1, f, 59340.0, 59150.0
10, 10, 2, f, 60636.0, 60450.0
10, 10, 3, f, 61945.0, 61750.0
10, 10, 4, f, 63252.0, 63050.0
10, 10, 5, f, 64510.004, 64350.0
