participant, trial, beat, response, rt, beat-time
22, 1, 1, f, 960.0, 650.0
22, 1, 2, f, 1969.0, 1949.9999
22, 1, 3, f, 3115.0, 3250.0
22, 1, 4, f, 4576.0, 4549.9995
22, 1, 5, f, 5828.0, 5850.0
22, 2, 1, f, 7178.0, 7150.0
22, 2, 2, f, 8649.0, 8450.0
22, 2, 3, f, 9866.0, 9750.0
22, 2, 4, f, 11169.0, 11049.999
22, 2, 5, f, 12320.0, 12350.0
22, 3, 1, f, 13803.0, 13650.0
22, 3, 2, f, 15010.0, 14950.0
22, 3, 3, f, 16410.0, 16250.0
22, 3, 4, f, 17724.0, 17550.0
22, 3, 5, f, 18982.0, 18850.0
22, 4, 1, f, 20190.0, 20150.0
22, 4, 2, f, 21504.0, 21450.0
22, 4, 3, f, 22751.0, 22750.0
22, 4, 4, f, 24121.0, 24050.0
22, 4, 5, f, 25364.0, 25350.0
22, 5, 1, f, 26597.0, 26650.0
22, 5, 2, f, 28109.0, 27950.0
22, 5, 3, f, 29200.0, 29250.0
22, 5, 4, f, 30447.0, 30550.0
22, 5, 5, f, 31808.0, 31850.0
22, 6, 1, f, 32990.0, 33150.0
22, 6, 2, f, 34293.0, 34450.0
22, 6, 3, f, 35712.0, 35750.0
22, 6, 4, f, 37182.0, 37050.0
22, 6, 5, f, 38431.0, 38350.0
22, 7, 1, f, 39562.0, 39650.0
22, 7, 2, f, 40816.0, 40950.0
22, 7, 3, f, 42291.0, 42250.0
22, 7, 4, f, 43650.0, 43550.0
22, 7, 5, f, 44836.0, 44850.0
22, 8, 1, f, 46066.0, 46150.0
22, 8, 2, f, 47306.0, 47450.0
22, 8, 3, f, 48924.0, 48750.0
22, 8, 4, f, 50119.0, 50050.0
22, 8, 5, f, 51322.0, 51350.0
22, 9, 1, f, 52675.0, 52650.0
22, 9, 2, f, 53906.0, 53950.0
22, 9, 3, f, 55199.0, 55250.0
22, 9, 4, f, 56660.0, 56550.0
22, 9, 5, f, 57793.0, 57850.0
22, 10, 1, f, 59313.0, 59150.0
22, 10, 2, f, 60624.0, 60450.0
22, 10, 3, f, 61703.0, 61750.0
22, 10, 4, f, 63046.0, 63050.0
22, 10, 5, f, 64289.0, 64350.0
