participant, trial, beat, response, rt, beat-time
19, 1, 8, f, 9725.0, 9749.999
19, 1, 9, f, 11255.0, 11049.999
19, 1, 10, f, 12444.0, 12349.999
19, 1, 11, f, 13761.0, 13650.0
19, 1, 12, f, 15126.0, 14949.999
19, 2, 27, f, 100622.0, 100450.0
19, 2, 28, f, 101771.0, 101750.0
19, 2, 29, f, 103249.0, 103050.0
19, 2, 30, f, 104323.0, 104350.0
19, 2, 31, f, 105730.0, 105650.0
19, 3, 42, f, 186029.0, 185950.0
19, 3, 43, f, 187312.0, 187250.0
19, 3, 44, f, 188758.0, 188550.0
19, 3, 45, f, 190061.0, 189850.0
19, 3, 46, f, 191085.0, 191150.0
19, 4, 37, f, 245598.0, 245450.0
19, 4, 38, f, 246947.0, 246750.0
19, 4, 39, f, 248226.0, 248050.0
19, 4, 40, f, 249552.0, 249350.0
19, 4, 41, f, 250781.0, 250650.0
19, 5, 11, f, 277836.0, 277650.0
19, 5, 12, f, 279113.0, 278950.0
19, 5, 13, f, 280442.0, 280250.0
19, 5, 14, f, 281716.0, 281550.0
19, 5, 15, f, 283038.0, 282850.0
19, 6, 33, f, 372108.0, 372250.0
19, 6, 34, f, 373536.0, 373550.0
19, 6, 35, f, 374964.0, 374850.0
19, 6, 36, f, 376341.0, 376150.0
19, 6, 37, f, 377461.0, 377450.0
19, 7, 28, f, 431774.0, 431750.0
19, 7, 29, f, 433134.0, 433050.0
19, 7, 30, f, 434557.0, 434350.0
19, 7, 31, f, 435821.0, 435650.0
19, 7, 32, f, 436993.0, 436950.0
19, 8, 5, f, 468036.0, 467850.0
19, 8, 6, f, 469346.0, 469150.0
19, 8, 7, f, 470556.0, 470450.0
19, 8, 8, f, 471921.0, 471750.0
19, 8, 9, f, 473239.0, 473050.0
19, 9, 29, f, 565240.0, 565050.0
19, 9, 30, f, 566494.0, 566350.0
19, 9, 31, f, 567849.0, 567650.0
19, 9, 32, f, 569102.0, 568950.0
19, 9, 33, f, 570415.0, 570250.0
19, 10, 37, f, 641634.0, 641450.0
19, 10, 38, f, 642935.0, 642750.0
19, 10, 39, f, 644092.0, 644050.0
19, 10, 40, f, 645559.0, 645350.0
19, 10, 41, f, 646822.0, 646650.0
19, 11, 10, f, 672545.0, 672350.0
19, 11, 11, f, 673853.0, 673650.0
19, 11, 12, f, 675000.0, 674950.0
19, 11, 13, f, 676462.0, 676250.0
19, 11, 14, f, 677456.0, 677550.0
19, 12, 45, f, 784017.0, 783850.0
19, 12, 46, f, 785318.0, 785150.0
19, 12, 47, f, 786624.0, 786450.0
19, 12, 48, f, 787925.0, 787750.0
19, 12, 49, f, 789126.0, 789050.0
19, 13, 36, f, 838164.0, 838150.0
19, 13, 37, f, 839617.0, 839450.0
19, 13, 38, f, 840921.0, 840750.0
19, 13, 39, f, 842073.0, 842050.0
19, 13, 40, f, 843524.0, 843350.0
19, 14, 4, f, 862730.0, 862550.0
19, 14, 5, f, 864033.0, 863850.0
19, 14, 6, f, 865230.0, 865150.0
19, 14, 7, f, 866470.0, 866450.0
19, 14, 8, f, 867871.0, 867750.0
19, 15, 33, f, 966420.0, 966250.0
19, 15, 34, f, 967719.0, 967550.0
19, 15, 35, f, 968862.0, 968850.0
19, 15, 36, f, 970325.0, 970150.0
19, 15, 37, f, 971619.0, 971450.0
19, 16, 30, f, 1028534.06, 1028350.0
19, 16, 31, f, 1029833.0, 1029650.0
19, 16, 32, f, 1031126.0, 1030949.94
19, 16, 33, f, 1032365.0, 1032250.0
19, 16, 34, f, 1033652.0, 1033550.06
19, 17, 5, f, 1062033.0, 1061850.0
19, 17, 6, f, 1063333.0, 1063150.0
19, 17, 7, f, 1064417.0, 1064450.0
19, 17, 8, f, 1065917.0, 1065750.0
19, 17, 9, f, 1067213.0, 1067050.0
19, 18, 22, f, 1150137.0, 1149950.0
19, 18, 23, f, 1151422.0, 1151250.0
19, 18, 24, f, 1152715.0, 1152550.0
19, 18, 25, f, 1154060.0, 1153850.0
19, 18, 26, f, 1155357.0, 1155150.0
