participant, trial, beat, response, rt, beat-time
5, 1, 16, f, 20333.0, 20150.0
5, 1, 17, f, 21593.0, 21449.998
5, 1, 18, f, 22958.0, 22749.998
5, 1, 19, f, 24225.0, 24050.0
5, 1, 20, f, 25453.0, 25349.998
5, 2, 37, f, 113484.0, 113450.0
5, 2, 38, f, 114847.0, 114750.0
5, 2, 39, f, 116197.0, 116050.0
5, 2, 40, f, 117551.0, 117350.0
5, 2, 41, f, 118838.0, 118650.0
5, 3, 44, f, 188713.0, 188550.0
5, 3, 45, f, 190059.0, 189850.0
5, 3, 46, f, 191354.0, 191150.0
5, 3, 47, f, 192642.0, 192450.0
5, 3, 48, f, 193718.0, 193750.0
5, 4, 17, f, 219657.0, 219450.0
5, 4, 18, f, 220951.0, 220750.0
5, 4, 19, f, 222236.0, 222050.0
5, 4, 20, f, 223525.0, 223350.0
5, 4, 21, f, 224810.0, 224650.0
5, 5, 45, f, 321827.0, 321850.0
5, 5, 46, f, 323310.0, 323150.0
5, 5, 47, f, 324585.0, 324450.0
5, 5, 48, f, 325907.0, 325750.0
5, 5, 49, f, 327235.0, 327050.0
5, 6, 7, f, 338612.0, 338450.0
5, 6, 8, f, 339934.0, 339750.0
5, 6, 9, f, 341161.0, 341050.0
5, 6, 10, f, 342539.0, 342350.0
5, 6, 11, f, 343815.0, 343650.0
5, 7, 33, f, 438379.0, 438250.0
5, 7, 34, f, 439748.0, 439550.0
5, 7, 35, f, 441014.0, 440850.0
5, 7, 36, f, 442328.0, 442150.0
5, 7, 37, f, 443658.0, 443450.0
5, 8, 28, f, 497914.0, 497750.0
5, 8, 29, f, 499122.0, 499050.0
5, 8, 30, f, 500212.0, 500350.0
5, 8, 31, f, 501788.0, 501650.0
5, 8, 32, f, 502946.0, 502950.0
5, 9, 26, f, 561320.0, 561150.0
5, 9, 27, f, 562417.0, 562450.0
5, 9, 28, f, 563955.0, 563750.0
5, 9, 29, f, 565113.0, 565050.0
5, 9, 30, f, 566523.0, 566350.0
5, 10, 8, f, 603957.0, 603750.0
5, 10, 9, f, 605212.0, 605050.0
5, 10, 10, f, 606520.0, 606350.0
5, 10, 11, f, 607720.0, 607650.0
5, 10, 12, f, 609133.0, 608950.0
5, 11, 9, f, 671087.0, 671050.0
5, 11, 10, f, 672544.0, 672350.0
5, 11, 11, f, 673850.0, 673650.0
5, 11, 12, f, 675098.0, 674950.0
5, 11, 13, f, 676451.0, 676250.0
5, 12, 34, f, 769748.0, 769550.0
5, 12, 35, f, 771054.0, 770850.0
5, 12, 36, f, 772203.0, 772150.0
5, 12, 37, f, 773659.0, 773450.0
5, 12, 38, f, 774800.0, 774750.0
5, 13, 19, f, 816210.0, 816050.0
5, 13, 20, f, 817511.0, 817350.0
5, 13, 21, f, 818812.0, 818650.0
5, 13, 22, f, 819957.0, 819950.0
5, 13, 23, f, 821310.0, 821250.0
5, 14, 10, f, 870544.0, 870350.0
5, 14, 11, f, 871846.0, 871650.0
5, 14, 12, f, 872986.0, 872950.0
5, 14, 13, f, 874439.0, 874250.0
5, 14, 14, f, 875741.0, 875550.0
5, 15, 10, f, 936530.0, 936350.0
5, 15, 11, f, 937677.0, 937650.0
5, 15, 12, f, 939126.0, 938950.0
5, 15, 13, f, 940428.0, 940250.0
5, 15, 14, f, 941724.0, 941550.0
5, 16, 29, f, 1027228.0, 1027050.06
5, 16, 30, f, 1028527.0, 1028350.0
5, 16, 31, f, 1029819.94, 1029650.0
5, 16, 32, f, 1031112.06, 1030949.94
5, 16, 33, f, 1032402.94, 1032250.0
5, 17, 6, f, 1063297.0, 1063150.0
5, 17, 7, f, 1064633.0, 1064450.0
5, 17, 8, f, 1065929.0, 1065750.0
5, 17, 9, f, 1067223.0, 1067050.0
5, 17, 10, f, 1068412.0, 1068350.0
5, 18, 10, f, 1134481.0, 1134350.0
5, 18, 11, f, 1135822.0, 1135650.0
5, 18, 12, f, 1137112.0, 1136950.0
5, 18, 13, f, 1138459.0, 1138250.0
5, 18, 14, f, 1139748.0, 1139550.0
