participant, trial, beat, response, rt, beat-time
17, 1, 10, f, 12288.0, 12349.999
17, 1, 11, f, 13812.0, 13650.0
17, 1, 12, f, 15113.0, 14949.999
17, 1, 13, f, 16417.0, 16250.0
17, 1, 14, f, 17738.0, 17550.0
17, 2, 22, f, 94126.0, 93950.0
17, 2, 23, f, 95420.0, 95250.0
17, 2, 24, f, 96722.0, 96550.0
17, 2, 25, f, 97968.0, 97850.0
17, 2, 26, f, 99316.0, 99150.0
17, 3, 28, f, 167895.0, 167750.0
17, 3, 29, f, 169165.0, 169050.0
17, 3, 30, f, 170515.0, 170350.0
17, 3, 31, f, 171696.0, 171650.0
17, 3, 32, f, 173138.0, 172950.0
17, 4, 3, f, 201420.0, 201250.0
17, 4, 4, f, 202710.0, 202550.0
17, 4, 5, f, 203940.0, 203850.0
17, 4, 6, f, 205325.0, 205150.0
17, 4, 7, f, 206621.0, 206450.0
17, 5, 9, f, 275238.0, 275050.0
17, 5, 10, f, 276363.0, 276350.0
17, 5, 11, f, 277855.0, 277650.0
17, 5, 12, f, 279129.0, 278950.0
17, 5, 13, f, 280458.0, 280250.0
17, 6, 11, f, 343830.0, 343650.0
17, 6, 12, f, 345112.0, 344950.0
17, 6, 13, f, 346334.0, 346250.0
17, 6, 14, f, 347613.0, 347550.0
17, 6, 15, f, 349041.0, 348850.0
17, 7, 4, f, 400727.0, 400550.0
17, 7, 5, f, 402049.0, 401850.0
17, 7, 6, f, 403159.0, 403150.0
17, 7, 7, f, 404582.0, 404450.0
17, 7, 8, f, 405903.0, 405750.0
17, 8, 15, f, 481010.0, 480850.0
17, 8, 16, f, 482337.0, 482150.0
17, 8, 17, f, 483654.0, 483450.0
17, 8, 18, f, 484926.0, 484750.0
17, 8, 19, f, 486210.0, 486050.0
17, 9, 43, f, 583418.0, 583250.0
17, 9, 44, f, 584733.0, 584550.0
17, 9, 45, f, 585938.0, 585850.0
17, 9, 46, f, 587356.0, 587150.0
17, 9, 47, f, 588619.0, 588450.0
17, 10, 30, f, 632517.0, 632350.0
17, 10, 31, f, 633826.0, 633650.0
17, 10, 32, f, 635128.0, 634950.0
17, 10, 33, f, 636283.0, 636250.0
17, 10, 34, f, 637755.0, 637550.0
17, 11, 5, f, 665995.0, 665850.0
17, 11, 6, f, 667359.0, 667150.0
17, 11, 7, f, 668611.0, 668450.0
17, 11, 8, f, 669814.0, 669750.0
17, 11, 9, f, 671225.0, 671050.0
17, 12, 20, f, 751510.0, 751350.0
17, 12, 21, f, 752814.0, 752650.0
17, 12, 22, f, 754123.0, 753950.0
17, 12, 23, f, 755275.0, 755250.0
17, 12, 24, f, 756744.0, 756550.0
17, 13, 29, f, 829232.0, 829050.0
17, 13, 30, f, 830534.0, 830350.0
17, 13, 31, f, 831782.0, 831650.0
17, 13, 32, f, 833131.0, 832950.0
17, 13, 33, f, 834440.0, 834250.0
17, 14, 36, f, 904337.0, 904150.0
17, 14, 37, f, 905632.0, 905450.0
17, 14, 38, f, 906933.0, 906750.0
17, 14, 39, f, 908229.0, 908050.0
17, 14, 40, f, 909527.0, 909350.0
17, 15, 6, f, 931327.0, 931150.0
17, 15, 7, f, 932316.0, 932450.0
17, 15, 8, f, 933765.0, 933750.0
17, 15, 9, f, 935215.0, 935050.0
17, 15, 10, f, 936516.0, 936350.0
17, 16, 22, f, 1018142.0, 1017950.0
17, 16, 23, f, 1019435.0, 1019250.0
17, 16, 24, f, 1020631.0, 1020550.0
17, 16, 25, f, 1022033.0, 1021850.0
17, 16, 26, f, 1023275.0, 1023150.0
17, 17, 24, f, 1086715.0, 1086550.0
17, 17, 25, f, 1087904.0, 1087850.0
17, 17, 26, f, 1089344.0, 1089150.0
17, 17, 27, f, 1090637.0, 1090450.0
17, 17, 28, f, 1091929.0, 1091750.0
17, 18, 42, f, 1176118.0, 1175950.0
17, 18, 43, f, 1177413.0, 1177250.0
17, 18, 44, f, 1178755.0, 1178550.0
17, 18, 45, f, 1180049.0, 1179850.0
17, 18, 46, f, 1181291.0, 1181150.0
