participant, trial, beat, response, rt, beat-time
9, 1, 33, f, 42241.0, 42250.0
9, 1, 34, f, 43755.0, 43550.0
9, 1, 35, f, 45052.0, 44850.0
9, 1, 36, f, 46096.0, 46150.0
9, 1, 37, f, 47403.0, 47450.0
9, 2, 28, f, 101753.0, 101750.0
9, 2, 29, f, 103259.0, 103050.0
9, 2, 30, f, 104284.0, 104350.0
9, 2, 31, f, 105685.0, 105650.0
9, 2, 32, f, 107147.0, 106950.0
9, 3, 24, f, 162731.0, 162550.0
9, 3, 25, f, 164019.0, 163850.0
9, 3, 26, f, 165329.0, 165150.0
9, 3, 27, f, 166555.0, 166450.0
9, 3, 28, f, 167947.0, 167750.0
9, 4, 41, f, 250803.0, 250650.0
9, 4, 42, f, 252130.0, 251950.0
9, 4, 43, f, 253309.0, 253250.0
9, 4, 44, f, 254744.0, 254550.0
9, 4, 45, f, 256027.02, 255850.0
9, 5, 22, f, 291876.0, 291950.0
9, 5, 23, f, 293369.0, 293250.0
9, 5, 24, f, 294755.0, 294550.0
9, 5, 25, f, 296036.0, 295850.0
9, 5, 26, f, 297358.0, 297150.0
9, 6, 5, f, 335890.0, 335850.0
9, 6, 6, f, 337326.0, 337150.0
9, 6, 7, f, 338652.0, 338450.0
9, 6, 8, f, 339705.0, 339750.0
9, 6, 9, f, 341252.0, 341050.0
9, 7, 1, f, 396077.0, 396650.0
9, 7, 2, f, 398134.0, 397950.0
9, 7, 3, f, 399353.0, 399250.0
9, 7, 4, f, 400728.0, 400550.0
9, 7, 5, f, 401853.0, 401850.0
9, 8, 4, f, 466750.0, 466550.0
9, 8, 5, f, 468019.0, 467850.0
9, 8, 6, f, 469230.0, 469150.0
9, 8, 7, f, 470598.0, 470450.0
9, 8, 8, f, 471912.0, 471750.0
9, 9, 1, f, 528083.0, 528650.0
9, 9, 2, f, 530033.0, 529950.0
9, 9, 3, f, 531453.0, 531250.0
9, 9, 4, f, 532714.0, 532550.0
9, 9, 5, f, 533709.0, 533850.0
9, 10, 18, f, 616959.0, 616750.0
9, 10, 19, f, 618212.0, 618050.0
9, 10, 20, f, 619252.0, 619350.0
9, 10, 21, f, 620820.0, 620650.0
9, 10, 22, f, 621916.0, 621950.0
9, 11, 20, f, 685548.0, 685350.0
9, 11, 21, f, 686795.0, 686650.0
9, 11, 22, f, 688155.0, 687950.0
9, 11, 23, f, 689301.0, 689250.0
9, 11, 24, f, 690717.0, 690550.0
9, 12, 36, f, 772192.0, 772150.0
9, 12, 37, f, 773653.0, 773450.0
9, 12, 38, f, 774956.0, 774750.0
9, 12, 39, f, 776258.0, 776050.0
9, 12, 40, f, 777560.0, 777350.0
9, 13, 23, f, 821168.0, 821250.0
9, 13, 24, f, 822617.0, 822550.0
9, 13, 25, f, 824028.0, 823850.0
9, 13, 26, f, 825333.0, 825150.0
9, 13, 27, f, 826636.0, 826450.0
9, 14, 13, f, 874264.0, 874250.0
9, 14, 14, f, 875721.0, 875550.0
9, 14, 15, f, 876912.0, 876850.0
9, 14, 16, f, 878313.0, 878150.0
9, 14, 17, f, 879616.0, 879450.0
9, 15, 28, f, 959910.0, 959750.0
9, 15, 29, f, 961214.0, 961050.0
9, 15, 30, f, 962354.0, 962350.0
9, 15, 31, f, 963709.0, 963650.0
9, 15, 32, f, 965161.0, 964950.0
9, 16, 25, f, 1022060.0, 1021850.0
9, 16, 26, f, 1023092.0, 1023150.0
9, 16, 27, f, 1024647.0, 1024449.94
9, 16, 28, f, 1025936.06, 1025750.0
9, 16, 29, f, 1027227.06, 1027050.06
9, 17, 37, f, 1103656.0, 1103450.0
9, 17, 38, f, 1104946.0, 1104750.0
9, 17, 39, f, 1106025.0, 1106050.0
9, 17, 40, f, 1107528.0, 1107350.0
9, 17, 41, f, 1108815.0, 1108650.0
9, 18, 9, f, 1133001.0, 1133050.0
9, 18, 10, f, 1134553.0, 1134350.0
9, 18, 11, f, 1135845.0, 1135650.0
9, 18, 12, f, 1137135.0, 1136950.0
9, 18, 13, f, 1138432.0, 1138250.0
