participant, trial, beat, response, rt, beat-time
6, 1, 1, f, 960.0, 650.0
6, 1, 2, f, 2122.0, 1949.9999
6, 1, 3, f, 3443.0, 3250.0
6, 1, 4, f, 4485.0, 4549.9995
6, 1, 5, f, 5784.0, 5850.0
6, 2, 1, f, 7165.0, 7150.0
6, 2, 2, f, 8465.0, 8450.0
6, 2, 3, f, 9876.0, 9750.0
6, 2, 4, f, 11199.0, 11049.999
6, 2, 5, f, 12502.0, 12350.0
6, 3, 1, f, 13673.0, 13650.0
6, 3, 2, f, 15124.0, 14950.0
6, 3, 3, f, 16420.0, 16250.0
6, 3, 4, f, 17563.0, 17550.0
6, 3, 5, f, 18863.0, 18850.0
6, 4, 1, f, 20006.0, 20150.0
6, 4, 2, f, 21633.0, 21450.0
6, 4, 3, f, 22887.0, 22750.0
6, 4, 4, f, 23916.0, 24050.0
6, 4, 5, f, 25451.0, 25350.0
6, 5, 1, f, 26836.0, 26650.0
6, 5, 2, f, 27983.0, 27950.0
6, 5, 3, f, 29434.0, 29250.0
6, 5, 4, f, 30698.0, 30550.0
6, 5, 5, f, 31893.0, 31850.0
6, 6, 1, f, 33077.0, 33150.0
6, 6, 2, f, 34603.0, 34450.0
6, 6, 3, f, 35746.0, 35750.0
6, 6, 4, f, 37149.0, 37050.0
6, 6, 5, f, 38358.0, 38350.0
6, 7, 1, f, 39549.0, 39650.0
6, 7, 2, f, 40970.0, 40950.0
6, 7, 3, f, 42312.0, 42250.0
6, 7, 4, f, 43668.0, 43550.0
6, 7, 5, f, 44755.0, 44850.0
6, 8, 1, f, 46281.0, 46150.0
6, 8, 2, f, 47518.0, 47450.0
6, 8, 3, f, 48921.0, 48750.0
6, 8, 4, f, 50231.0, 50050.0
6, 8, 5, f, 51479.0, 51350.0
6, 9, 1, f, 52681.0, 52650.0
6, 9, 2, f, 53808.0, 53950.0
6, 9, 3, f, 55456.0, 55250.0
6, 9, 4, f, 56699.0, 56550.0
6, 9, 5, f, 58056.0, 57850.0
6, 10, 1, f, 59151.0, 59150.0
6, 10, 2, f, 60607.0, 60450.0
6, 10, 3, f, 61910.0, 61750.0
6, 10, 4, f, 63216.0, 63050.0
6, 10, 5, f, 64510.004, 64350.0
