participant, trial, beat, response, rt, beat-time
24, 1, 28, f, 35868.0, 35750.0
24, 1, 29, f, 37240.0, 37050.0
24, 1, 30, f, 38538.0, 38350.0
24, 1, 31, f, 39843.0, 39650.0
24, 1, 32, f, 41137.0, 40950.0
24, 2, 7, f, 74653.0, 74450.0
24, 2, 8, f, 75909.0, 75750.0
24, 2, 9, f, 77263.0, 77050.0
24, 2, 10, f, 78520.0, 78350.0
24, 2, 11, f, 79663.0, 79650.0
24, 3, 16, f, 152302.0, 152150.0
24, 3, 17, f, 153635.0, 153450.0
24, 3, 18, f, 154922.0, 154750.0
24, 3, 19, f, 156057.0, 156050.0
24, 3, 20, f, 157448.0, 157350.0
24, 4, 32, f, 239101.0, 238950.0
24, 4, 33, f, 240433.0, 240250.0
24, 4, 34, f, 241706.0, 241550.0
24, 4, 35, f, 243014.0, 242850.0
24, 4, 36, f, 244341.0, 244150.0
24, 5, 11, f, 277863.0, 277650.0
24, 5, 12, f, 279138.0, 278950.0
24, 5, 13, f, 280423.0, 280250.0
24, 5, 14, f, 281703.0, 281550.0
24, 5, 15, f, 283036.0, 282850.0
24, 6, 42, f, 384121.0, 383950.0
24, 6, 43, f, 385437.0, 385250.0
24, 6, 44, f, 386706.0, 386550.0
24, 6, 45, f, 388028.0, 387850.0
24, 6, 46, f, 389241.0, 389150.0
24, 7, 26, f, 429312.0, 429150.0
24, 7, 27, f, 430629.0, 430450.0
24, 7, 28, f, 431940.0, 431750.0
24, 7, 29, f, 433261.0, 433050.0
24, 7, 30, f, 434528.0, 434350.0
24, 8, 35, f, 507040.0, 506850.0
24, 8, 36, f, 508358.0, 508150.0
24, 8, 37, f, 509610.0, 509450.0
24, 8, 38, f, 510866.0, 510750.0
24, 8, 39, f, 512234.0, 512050.0
24, 9, 16, f, 548226.0, 548150.0
24, 9, 17, f, 549643.0, 549450.0
24, 9, 18, f, 550900.0, 550750.0
24, 9, 19, f, 552261.0, 552050.0
24, 9, 20, f, 553517.0, 553350.0
24, 10, 4, f, 598733.0, 598550.0
24, 10, 5, f, 600051.0, 599850.0
24, 10, 6, f, 601256.0, 601150.0
24, 10, 7, f, 602624.0, 602450.0
24, 10, 8, f, 603888.0, 603750.0
24, 11, 38, f, 708941.0, 708750.0
24, 11, 39, f, 710239.0, 710050.0
24, 11, 40, f, 711492.0, 711350.0
24, 11, 41, f, 712846.0, 712650.0
24, 11, 42, f, 714098.0, 713950.0
24, 12, 8, f, 735933.0, 735750.0
24, 12, 9, f, 737181.0, 737050.0
24, 12, 10, f, 738487.0, 738350.0
24, 12, 11, f, 739844.0, 739650.0
24, 12, 12, f, 741143.0, 740950.0
24, 13, 24, f, 822744.0, 822550.0
24, 13, 25, f, 824047.0, 823850.0
24, 13, 26, f, 825293.0, 825150.0
24, 13, 27, f, 826647.0, 826450.0
24, 13, 28, f, 827944.0, 827750.0
24, 14, 5, f, 864027.0, 863850.0
24, 14, 6, f, 865331.0, 865150.0
24, 14, 7, f, 866629.0, 866450.0
24, 14, 8, f, 867932.0, 867750.0
24, 14, 9, f, 869226.0, 869050.0
24, 15, 37, f, 971644.0, 971450.0
24, 15, 38, f, 972941.0, 972750.0
24, 15, 39, f, 974240.0, 974050.0
24, 15, 40, f, 975539.0, 975350.0
24, 15, 41, f, 976835.0, 976650.0
24, 16, 14, f, 1007722.0, 1007550.0
24, 16, 15, f, 1009014.0, 1008850.0
24, 16, 16, f, 1010314.0, 1010150.0
24, 16, 17, f, 1011659.0, 1011450.0
24, 16, 18, f, 1012910.0, 1012750.0
24, 17, 28, f, 1091940.0, 1091750.0
24, 17, 29, f, 1093028.0, 1093050.0
24, 17, 30, f, 1094477.0, 1094350.0
24, 17, 31, f, 1095825.0, 1095650.0
24, 17, 32, f, 1097068.0, 1096950.0
24, 18, 7, f, 1130621.0, 1130450.0
24, 18, 8, f, 1131871.0, 1131750.0
24, 18, 9, f, 1133222.0, 1133050.0
24, 18, 10, f, 1134509.0, 1134350.0
24, 18, 11, f, 1135852.0, 1135650.0
