participant, trial, beat, response, rt, beat-time
3, 1, 45, f, 58012.0, 57850.0
3, 1, 46, f, 59359.0, 59149.996
3, 1, 47, f, 60610.0, 60450.0
3, 1, 48, f, 61743.0, 61750.0
3, 1, 49, f, 63246.0, 63050.0
3, 2, 25, f, 97996.0, 97850.0
3, 2, 26, f, 99357.0, 99150.0
3, 2, 27, f, 100653.0, 100450.0
3, 2, 28, f, 101935.0, 101750.0
3, 2, 29, f, 103240.0, 103050.0
3, 3, 38, f, 180957.0, 180750.0
3, 3, 39, f, 182250.0, 182050.0
3, 3, 40, f, 183537.0, 183350.0
3, 3, 41, f, 184839.0, 184650.0
3, 3, 42, f, 186117.0, 185950.0
3, 4, 3, f, 201414.0, 201250.0
3, 4, 4, f, 202712.0, 202550.0
3, 4, 5, f, 203989.0, 203850.0
3, 4, 6, f, 205328.0, 205150.0
3, 4, 7, f, 206402.0, 206450.0
3, 5, 38, f, 312911.0, 312750.0
3, 5, 39, f, 314241.0, 314050.0
3, 5, 40, f, 315512.0, 315350.0
3, 5, 41, f, 316782.0, 316650.0
3, 5, 42, f, 318120.0, 317950.0
3, 6, 30, f, 368540.0, 368350.0
3, 6, 31, f, 369815.0, 369650.0
3, 6, 32, f, 371133.0, 370950.0
3, 6, 33, f, 372447.0, 372250.0
3, 6, 34, f, 373649.0, 373550.0
3, 7, 43, f, 451446.0, 451250.0
3, 7, 44, f, 452660.0, 452550.0
3, 7, 45, f, 454027.0, 453850.0
3, 7, 46, f, 455343.0, 455150.0
3, 7, 47, f, 456660.0, 456450.0
3, 8, 6, f, 469354.0, 469150.0
3, 8, 7, f, 470629.0, 470450.0
3, 8, 8, f, 471942.0, 471750.0
3, 8, 9, f, 473089.0, 473050.0
3, 8, 10, f, 474510.0, 474350.0
3, 9, 27, f, 562616.0, 562450.0
3, 9, 28, f, 563763.0, 563750.0
3, 9, 29, f, 565230.0, 565050.0
3, 9, 30, f, 566223.0, 566350.0
3, 9, 31, f, 567856.0, 567650.0
3, 10, 40, f, 645530.0, 645350.0
3, 10, 41, f, 646792.0, 646650.0
3, 10, 42, f, 648150.0, 647950.0
3, 10, 43, f, 649455.0, 649250.0
3, 10, 44, f, 650441.0, 650550.0
3, 11, 7, f, 668477.0, 668450.0
3, 11, 8, f, 669943.0, 669750.0
3, 11, 9, f, 671247.0, 671050.0
3, 11, 10, f, 672557.0, 672350.0
3, 11, 11, f, 673812.0, 673650.0
3, 12, 21, f, 752860.0, 752650.0
3, 12, 22, f, 753845.0, 753950.0
3, 12, 23, f, 755409.0, 755250.0
3, 12, 24, f, 756761.0, 756550.0
3, 12, 25, f, 758010.0, 757850.0
3, 13, 10, f, 804520.0, 804350.0
3, 13, 11, f, 805824.0, 805650.0
3, 13, 12, f, 807120.0, 806950.0
3, 13, 13, f, 808217.0, 808250.0
3, 13, 14, f, 809681.0, 809550.0
3, 14, 24, f, 888601.0, 888550.0
3, 14, 25, f, 890054.0, 889850.0
3, 14, 26, f, 891293.0, 891150.0
3, 14, 27, f, 892639.0, 892450.0
3, 14, 28, f, 893879.0, 893750.0
3, 15, 27, f, 958633.0, 958450.0
3, 15, 28, f, 959873.0, 959750.0
3, 15, 29, f, 961227.0, 961050.0
3, 15, 30, f, 962523.0, 962350.0
3, 15, 31, f, 963820.0, 963650.0
3, 16, 27, f, 1024620.0, 1024449.94
3, 16, 28, f, 1025917.0, 1025750.0
3, 16, 29, f, 1027057.0, 1027050.06
3, 16, 30, f, 1028141.94, 1028350.0
3, 16, 31, f, 1029801.0, 1029650.0
3, 17, 31, f, 1095848.0, 1095650.0
3, 17, 32, f, 1097091.0, 1096950.0
3, 17, 33, f, 1098174.0, 1098250.0
3, 17, 34, f, 1099730.0, 1099550.0
3, 17, 35, f, 1101025.0, 1100850.0
3, 18, 41, f, 1174844.0, 1174650.0
3, 18, 42, f, 1176078.0, 1175950.0
3, 18, 43, f, 1177430.0, 1177250.0
3, 18, 44, f, 1178563.0, 1178550.0
3, 18, 45, f, 1180022.0, 1179850.0
