participant, trial, beat, response, rt, beat-time
4, 8, 1, f, 46151.0, 46150.0
4, 8, 2, f, 47186.0, 47450.0
4, 8, 3, f, 48548.0, 48750.0
4, 8, 4, f, 49955.0, 50050.0
4, 8, 5, f, 51249.0, 51350.0
4, 12, 5, f, 78327.0, 78350.0
4, 13, 1, f, 79688.0, 79650.0
4, 13, 2, f, 81148.0, 80950.0
4, 13, 3, f, 82347.0, 82250.0
4, 13, 4, f, 83525.0, 83550.0
4, 23, 3, f, 148133.0, 148250.0
4, 23, 4, f, 149527.0, 149550.0
4, 23, 5, f, 150868.0, 150850.0
4, 24, 1, f, 151940.0, 152150.0
4, 24, 2, f, 153275.0, 153450.0
4, 38, 2, f, 245386.0, 245450.0
4, 38, 3, f, 246607.0, 246750.0
4, 38, 4, f, 247994.0, 248050.0
4, 38, 5, f, 249539.0, 249350.0
4, 39, 1, f, 250664.0, 250650.0
4, 47, 2, f, 305128.0, 304950.0
4, 47, 3, f, 306188.0, 306250.0
4, 47, 4, f, 307461.0, 307550.0
4, 47, 5, f, 308831.0, 308850.0
4, 48, 1, f, 310098.0, 310150.0
4, 54, 2, f, 351477.0, 351450.0
4, 54, 3, f, 352849.0, 352750.0
4, 54, 4, f, 354228.0, 354050.0
4, 54, 5, f, 355289.0, 355350.0
4, 55, 1, f, 356656.0, 356650.0
4, 66, 3, f, 431781.0, 431750.0
4, 66, 4, f, 433093.0, 433050.0
4, 66, 5, f, 434416.0, 434350.0
4, 67, 1, f, 435627.0, 435650.0
4, 67, 2, f, 437053.0, 436950.0
4, 72, 1, f, 469250.0, 469150.0
4, 72, 2, f, 470566.0, 470450.0
4, 72, 3, f, 471665.0, 471750.0
4, 72, 4, f, 473030.0, 473050.0
4, 72, 5, f, 474550.0, 474350.0
4, 88, 2, f, 575617.0, 575450.0
4, 88, 3, f, 576462.0, 576750.0
4, 88, 4, f, 578198.0, 578050.0
4, 88, 5, f, 579242.0, 579350.0
4, 89, 1, f, 580596.0, 580650.0
4, 91, 3, f, 597417.0, 597250.0
4, 91, 4, f, 598579.0, 598550.0
4, 91, 5, f, 600036.0, 599850.0
4, 92, 1, f, 601138.0, 601150.0
4, 92, 2, f, 602288.0, 602450.0
4, 107, 1, f, 699680.0, 699650.0
4, 107, 2, f, 700936.0, 700950.0
4, 107, 3, f, 702398.0, 702250.0
4, 107, 4, f, 703496.0, 703550.0
4, 107, 5, f, 704961.0, 704850.0
4, 114, 3, f, 748556.0, 748750.0
4, 114, 4, f, 750013.0, 750050.0
4, 114, 5, f, 751209.0, 751350.0
4, 115, 1, f, 752558.0, 752650.0
4, 115, 2, f, 754114.0, 753950.0
4, 122, 3, f, 801939.0, 801750.0
4, 122, 4, f, 802980.0, 803050.0
4, 122, 5, f, 804281.0, 804350.0
4, 123, 1, f, 805635.0, 805650.0
4, 123, 2, f, 806934.0, 806950.0
4, 137, 5, f, 903047.0, 902850.0
4, 138, 1, f, 904245.0, 904150.0
4, 138, 2, f, 905444.0, 905450.0
4, 138, 3, f, 906901.0, 906750.0
4, 138, 4, f, 907989.0, 908050.0
4, 141, 1, f, 923742.0, 924650.0
4, 141, 2, f, 926128.0, 925950.0
4, 141, 3, f, 927272.0, 927250.0
4, 141, 4, f, 928515.0, 928550.0
4, 141, 5, f, 930018.0, 929850.0
4, 155, 3, f, 1019363.0, 1019250.0
4, 155, 4, f, 1020498.0, 1020550.0
4, 155, 5, f, 1021888.0, 1021850.0
4, 156, 1, f, 1023291.0, 1023150.0
4, 156, 2, f, 1024582.0, 1024449.94
4, 165, 1, f, 1082638.0, 1082650.0
4, 165, 2, f, 1083873.0, 1083950.0
4, 165, 3, f, 1085218.0, 1085250.0
4, 165, 4, f, 1086506.0, 1086550.0
4, 165, 5, f, 1087903.0, 1087850.0
4, 177, 5, f, 1166954.0, 1166850.0
4, 178, 1, f, 1167926.0, 1168150.0
4, 178, 2, f, 1169424.0, 1169450.0
4, 178, 3, f, 1170868.0, 1170750.0
4, 178, 4, f, 1172008.0, 1172050.0
