participant, trial, beat, response, rt, beat-time
15, 1, 1, f, 1007.0, 650.0
15, 1, 2, f, 1994.0, 1949.9999
15, 1, 3, f, 3077.0, 3250.0
15, 1, 4, f, 4087.9998, 4549.9995
15, 1, 5, f, 5361.0, 5850.0
15, 2, 1, f, 6492.0, 7150.0
15, 2, 2, f, 7760.0, 8450.0
15, 2, 3, f, 9168.0, 9750.0
15, 2, 4, f, 10316.0, 11049.999
15, 2, 5, f, 11397.0, 12350.0
15, 3, 1, f, 12780.0, 13650.0
15, 3, 2, f, 13933.0, 14950.0
15, 3, 3, f, 15059.0, 16250.0
15, 3, 4, f, 16440.0, 17550.0
15, 3, 5, f, 17587.0, 18850.0
15, 4, 1, f, 18721.0, 20150.0
15, 4, 2, f, 19995.0, 21450.0
15, 4, 3, f, 21466.0, 22750.0
15, 4, 4, f, 22617.0, 24050.0
15, 4, 5, f, 24006.0, 25350.0
15, 5, 1, f, 25537.0, 26650.0
15, 5, 2, f, 26675.0, 27950.0
15, 5, 3, f, 27789.0, 29250.0
15, 5, 4, f, 28938.0, 30550.0
15, 5, 5, f, 30293.0, 31850.0
15, 6, 1, f, 31661.0, 33150.0
15, 6, 2, f, 32871.0, 34450.0
15, 6, 3, f, 34158.0, 35750.0
15, 6, 4, f, 35471.0, 37050.0
15, 6, 5, f, 36846.0, 38350.0
15, 7, 1, f, 38056.0, 39650.0
15, 7, 2, f, 39143.0, 40950.0
15, 7, 3, f, 40281.0, 42250.0
15, 7, 4, f, 41361.0, 43550.0
15, 7, 5, f, 42545.0, 44850.0
15, 8, 1, f, 43801.0, 46150.0
15, 8, 2, f, 45073.0, 47450.0
15, 8, 3, f, 46320.0, 48750.0
15, 8, 4, f, 47424.0, 50050.0
15, 8, 5, f, 48480.0, 51350.0
15, 9, 1, f, 49662.0, 52650.0
15, 9, 2, f, 50869.0, 53950.0
15, 9, 3, f, 52120.0, 55250.0
15, 9, 4, f, 53247.0, 56550.0
15, 9, 5, f, 54591.0, 57850.0
15, 10, 1, f, 56007.0, 59150.0
15, 10, 2, f, 57119.0, 60450.0
15, 10, 3, f, 58104.0, 61750.0
15, 10, 4, f, 59189.0, 63050.0
15, 10, 5, f, 60575.0, 64350.0
