participant, trial, beat, response, rt, beat-time
24, 1, 39, f, 50240.0, 50050.0
24, 1, 40, f, 51525.0, 51350.0
24, 1, 41, f, 52814.0, 52650.0
24, 1, 42, f, 53883.0, 53950.0
24, 1, 43, f, 55403.0, 55250.0
24, 2, 40, f, 117551.0, 117350.0
24, 2, 41, f, 118626.0, 118650.0
24, 2, 42, f, 120069.0, 119950.0
24, 2, 43, f, 121457.0, 121250.0
24, 2, 44, f, 122577.0, 122550.0
24, 3, 11, f, 145584.0, 145650.0
24, 3, 12, f, 146732.0, 146950.0
24, 3, 13, f, 148024.0, 148250.0
24, 3, 14, f, 149704.0, 149550.0
24, 3, 15, f, 151010.0, 150850.0
24, 4, 39, f, 248210.0, 248050.0
24, 4, 40, f, 249510.0, 249350.0
24, 4, 41, f, 250810.0, 250650.0
24, 4, 42, f, 252110.0, 251950.0
24, 4, 43, f, 253404.0, 253250.0
24, 5, 13, f, 280410.0, 280250.0
24, 5, 14, f, 281710.0, 281550.0
24, 5, 15, f, 283010.0, 282850.0
24, 5, 16, f, 284310.0, 284150.0
24, 5, 17, f, 285610.0, 285450.0
24, 6, 9, f, 341210.0, 341050.0
24, 6, 10, f, 342510.0, 342350.0
24, 6, 11, f, 343667.0, 343650.0
24, 6, 12, f, 345154.0, 344950.0
24, 6, 13, f, 346434.0, 346250.0
24, 7, 43, f, 451410.0, 451250.0
24, 7, 44, f, 452468.0, 452550.0
24, 7, 45, f, 454010.0, 453850.0
24, 7, 46, f, 455310.0, 455150.0
24, 7, 47, f, 456492.0, 456450.0
24, 8, 28, f, 497910.0, 497750.0
24, 8, 29, f, 499210.0, 499050.0
24, 8, 30, f, 500510.0, 500350.0
24, 8, 31, f, 501810.0, 501650.0
24, 8, 32, f, 503110.0, 502950.0
24, 9, 8, f, 537918.0, 537750.0
24, 9, 9, f, 539251.0, 539050.0
24, 9, 10, f, 540316.0, 540350.0
24, 9, 11, f, 541854.0, 541650.0
24, 9, 12, f, 543133.0, 542950.0
24, 10, 10, f, 606559.0, 606350.0
24, 10, 11, f, 607720.0, 607650.0
24, 10, 12, f, 609017.0, 608950.0
24, 10, 13, f, 610444.0, 610250.0
24, 10, 14, f, 611720.0, 611550.0
24, 11, 7, f, 668520.0, 668450.0
24, 11, 8, f, 669952.0, 669750.0
24, 11, 9, f, 671220.0, 671050.0
24, 11, 10, f, 672429.0, 672350.0
24, 11, 11, f, 673854.0, 673650.0
24, 12, 42, f, 780037.0, 779950.0
24, 12, 43, f, 781420.0, 781250.0
24, 12, 44, f, 782529.0, 782550.0
24, 12, 45, f, 784054.0, 783850.0
24, 12, 46, f, 785328.0, 785150.0
24, 13, 18, f, 814930.0, 814750.0
24, 13, 19, f, 816255.0, 816050.0
24, 13, 20, f, 817524.0, 817350.0
24, 13, 21, f, 818782.0, 818650.0
24, 13, 22, f, 820150.0, 819950.0
24, 14, 27, f, 892608.0, 892450.0
24, 14, 28, f, 893922.0, 893750.0
24, 14, 29, f, 895136.0, 895050.0
24, 14, 30, f, 896445.0, 896350.0
24, 14, 31, f, 897815.0, 897650.0
24, 15, 39, f, 974210.0, 974050.0
24, 15, 40, f, 975323.0, 975350.0
24, 15, 41, f, 976798.0, 976650.0
24, 15, 42, f, 978120.0, 977950.0
24, 15, 43, f, 979438.0, 979250.0
24, 16, 45, f, 1048010.0, 1047850.0
24, 16, 46, f, 1049226.0, 1049150.0
24, 16, 47, f, 1050642.0, 1050450.0
24, 16, 48, f, 1051910.0, 1051750.0
24, 16, 49, f, 1053223.0, 1053050.0
24, 17, 5, f, 1061908.0, 1061850.0
24, 17, 6, f, 1063332.0, 1063150.0
24, 17, 7, f, 1064646.0, 1064450.0
24, 17, 8, f, 1065908.0, 1065750.0
24, 17, 9, f, 1067174.0, 1067050.0
24, 18, 27, f, 1156629.0, 1156450.0
24, 18, 28, f, 1157949.0, 1157750.0
24, 18, 29, f, 1159000.0, 1159050.0
24, 18, 30, f, 1160360.0, 1160350.0
24, 18, 31, f, 1161830.0, 1161650.0
