participant, trial, beat, response, rt, beat-time
16, 1, 1, f, 960.0, 650.0
16, 1, 2, f, 2033.0, 1949.9999
16, 1, 3, f, 2973.0, 3250.0
16, 1, 4, f, 4320.0, 4549.9995
16, 1, 5, f, 5239.0, 5850.0
16, 2, 1, f, 6421.0, 7150.0
16, 2, 2, f, 7640.0, 8450.0
16, 2, 3, f, 8585.0, 9750.0
16, 2, 4, f, 9792.0, 11049.999
16, 2, 5, f, 10874.0, 12350.0
16, 3, 1, f, 12107.0, 13650.0
16, 3, 2, f, 13483.0, 14950.0
16, 3, 3, f, 14790.0, 16250.0
16, 3, 4, f, 16099.001, 17550.0
16, 3, 5, f, 17356.0, 18850.0
16, 4, 1, f, 18631.0, 20150.0
16, 4, 2, f, 19898.0, 21450.0
16, 4, 3, f, 21201.0, 22750.0
16, 4, 4, f, 22427.0, 24050.0
16, 4, 5, f, 23810.0, 25350.0
16, 5, 1, f, 24856.0, 26650.0
16, 5, 2, f, 25900.0, 27950.0
16, 5, 3, f, 27169.0, 29250.0
16, 5, 4, f, 28383.0, 30550.0
16, 5, 5, f, 29762.0, 31850.0
16, 6, 1, f, 30831.0, 33150.0
16, 6, 2, f, 32207.0, 34450.0
16, 6, 3, f, 33385.0, 35750.0
16, 6, 4, f, 34687.0, 37050.0
16, 6, 5, f, 35922.0, 38350.0
16, 7, 1, f, 37027.0, 39650.0
16, 7, 2, f, 38248.0, 40950.0
16, 7, 3, f, 39419.0, 42250.0
16, 7, 4, f, 40710.0, 43550.0
16, 7, 5, f, 42034.0, 44850.0
16, 8, 1, f, 43362.0, 46150.0
16, 8, 2, f, 44679.0, 47450.0
16, 8, 3, f, 45895.0, 48750.0
16, 8, 4, f, 46995.0, 50050.0
16, 8, 5, f, 48145.0, 51350.0
16, 9, 1, f, 49308.0, 52650.0
16, 9, 2, f, 50450.0, 53950.0
16, 9, 3, f, 51762.0, 55250.0
16, 9, 4, f, 52908.0, 56550.0
16, 9, 5, f, 54120.0, 57850.0
16, 10, 1, f, 55528.0, 59150.0
16, 10, 2, f, 56833.0, 60450.0
16, 10, 3, f, 58081.0, 61750.0
16, 10, 4, f, 59096.0, 63050.0
16, 10, 5, f, 60290.0, 64350.0
