participant, trial, beat, response, rt, beat-time
8, 1, 1, f, 960.0, 650.0
8, 1, 2, f, 2114.0, 1949.9999
8, 1, 3, f, 3410.0, 3250.0
8, 1, 4, f, 4710.0, 4549.9995
8, 1, 5, f, 6050.0, 5850.0
8, 2, 1, f, 7340.0, 7150.0
8, 2, 2, f, 8637.0, 8450.0
8, 2, 3, f, 9928.0, 9750.0
8, 2, 4, f, 11220.0, 11049.999
8, 2, 5, f, 12512.0, 12350.0
8, 3, 1, f, 13810.0, 13650.0
8, 3, 2, f, 15153.0, 14950.0
8, 3, 3, f, 16444.0, 16250.0
8, 3, 4, f, 17735.0, 17550.0
8, 3, 5, f, 19030.0, 18850.0
8, 4, 1, f, 20332.0, 20150.0
8, 4, 2, f, 21624.0, 21450.0
8, 4, 3, f, 22920.0, 22750.0
8, 4, 4, f, 24213.0, 24050.0
8, 4, 5, f, 25555.0, 25350.0
8, 5, 1, f, 26850.0, 26650.0
8, 5, 2, f, 28153.0, 27950.0
8, 5, 3, f, 29449.0, 29250.0
8, 5, 4, f, 30740.0, 30550.0
8, 5, 5, f, 32025.002, 31850.0
8, 6, 1, f, 33318.0, 33150.0
8, 6, 2, f, 34610.0, 34450.0
8, 6, 3, f, 35912.0, 35750.0
8, 6, 4, f, 37257.0, 37050.0
8, 6, 5, f, 38552.0, 38350.0
8, 7, 1, f, 39845.0, 39650.0
8, 7, 2, f, 41135.0, 40950.0
8, 7, 3, f, 42427.0, 42250.0
8, 7, 4, f, 43710.0, 43550.0
8, 7, 5, f, 45055.0, 44850.0
8, 8, 1, f, 46350.0, 46150.0
8, 8, 2, f, 47636.0, 47450.0
8, 8, 3, f, 48930.0, 48750.0
8, 8, 4, f, 50214.0, 50050.0
8, 8, 5, f, 51558.0, 51350.0
8, 9, 1, f, 52857.0, 52650.0
8, 9, 2, f, 54151.0, 53950.0
8, 9, 3, f, 55437.0, 55250.0
8, 9, 4, f, 56728.0, 56550.0
8, 9, 5, f, 58018.0, 57850.0
8, 10, 1, f, 59319.0, 59150.0
8, 10, 2, f, 60614.0, 60450.0
8, 10, 3, f, 61958.0, 61750.0
8, 10, 4, f, 63250.0, 63050.0
8, 10, 5, f, 64541.0, 64350.0
