participant, trial, beat, response, rt, beat-time
7, 1, 44, f, 56743.0, 56550.0
7, 1, 45, f, 58025.0, 57850.0
7, 1, 46, f, 59358.0, 59149.996
7, 1, 47, f, 60637.0, 60450.0
7, 1, 48, f, 61714.0, 61750.0
7, 2, 36, f, 112152.0, 112150.0
7, 2, 37, f, 113646.0, 113450.0
7, 2, 38, f, 114939.0, 114750.0
7, 2, 39, f, 116223.0, 116050.0
7, 2, 40, f, 117454.0, 117350.0
7, 3, 34, f, 175719.0, 175550.0
7, 3, 35, f, 176944.0, 176850.0
7, 3, 36, f, 178272.0, 178150.0
7, 3, 37, f, 179657.0, 179450.0
7, 3, 38, f, 180933.0, 180750.0
7, 4, 2, f, 199940.0, 199950.0
7, 4, 3, f, 201304.0, 201250.0
7, 4, 4, f, 202562.0, 202550.0
7, 4, 5, f, 203877.0, 203850.0
7, 4, 6, f, 205249.0, 205150.0
7, 5, 11, f, 277854.0, 277650.0
7, 5, 12, f, 279118.0, 278950.0
7, 5, 13, f, 280282.0, 280250.0
7, 5, 14, f, 281592.0, 281550.0
7, 5, 15, f, 282898.0, 282850.0
7, 6, 40, f, 381482.0, 381350.0
7, 6, 41, f, 382855.0, 382650.0
7, 6, 42, f, 384123.0, 383950.0
7, 6, 43, f, 385393.0, 385250.0
7, 6, 44, f, 386755.0, 386550.0
7, 7, 5, f, 401866.0, 401850.0
7, 7, 6, f, 403115.0, 403150.0
7, 7, 7, f, 404415.0, 404450.0
7, 7, 8, f, 405726.0, 405750.0
7, 7, 9, f, 406921.0, 407050.0
7, 8, 21, f, 488761.0, 488650.0
7, 8, 22, f, 490070.0, 489950.0
7, 8, 23, f, 491372.0, 491250.0
7, 8, 24, f, 492632.0, 492550.0
7, 8, 25, f, 494054.0, 493850.0
7, 9, 15, f, 546967.0, 546850.0
7, 9, 16, f, 548227.0, 548150.0
7, 9, 17, f, 549657.0, 549450.0
7, 9, 18, f, 550921.0, 550750.0
7, 9, 19, f, 552239.0, 552050.0
7, 10, 13, f, 610413.0, 610250.0
7, 10, 14, f, 611674.0, 611550.0
7, 10, 15, f, 613030.0, 612850.0
7, 10, 16, f, 614342.0, 614150.0
7, 10, 17, f, 615652.0, 615450.0
7, 11, 24, f, 690742.0, 690550.0
7, 11, 25, f, 691950.0, 691850.0
7, 11, 26, f, 693311.0, 693150.0
7, 11, 27, f, 694411.0, 694450.0
7, 11, 28, f, 695927.0, 695750.0
7, 12, 14, f, 743601.0, 743550.0
7, 12, 15, f, 744908.0, 744850.0
7, 12, 16, f, 746203.0, 746150.0
7, 12, 17, f, 747495.0, 747450.0
7, 12, 18, f, 748797.0, 748750.0
7, 13, 7, f, 800513.0, 800450.0
7, 13, 8, f, 801866.0, 801750.0
7, 13, 9, f, 803230.0, 803050.0
7, 13, 10, f, 804536.0, 804350.0
7, 13, 11, f, 805743.0, 805650.0
7, 14, 4, f, 862658.0, 862550.0
7, 14, 5, f, 864010.0, 863850.0
7, 14, 6, f, 865202.0, 865150.0
7, 14, 7, f, 866495.0, 866450.0
7, 14, 8, f, 867783.0, 867750.0
7, 15, 10, f, 936457.0, 936350.0
7, 15, 11, f, 937826.0, 937650.0
7, 15, 12, f, 939118.0, 938950.0
7, 15, 13, f, 940315.0, 940250.0
7, 15, 14, f, 941732.0, 941550.0
7, 16, 11, f, 1003842.0, 1003650.0
7, 16, 12, f, 1005150.0, 1004950.0
7, 16, 13, f, 1006454.0, 1006250.0
7, 16, 14, f, 1007749.0, 1007550.0
7, 16, 15, f, 1008959.0, 1008850.0
7, 17, 33, f, 1098452.0, 1098250.0
7, 17, 34, f, 1099602.0, 1099550.0
7, 17, 35, f, 1100965.0, 1100850.0
7, 17, 36, f, 1102213.0, 1102150.0
7, 17, 37, f, 1103571.0, 1103450.0
7, 18, 26, f, 1155351.0, 1155150.0
7, 18, 27, f, 1156611.0, 1156450.0
7, 18, 28, f, 1157813.0, 1157750.0
7, 18, 29, f, 1159221.0, 1159050.0
7, 18, 30, f, 1160522.0, 1160350.0
