participant, trial, beat, response, rt, beat-time
10, 1, 15, f, 19031.0, 18849.998
10, 1, 16, f, 20322.0, 20150.0
10, 1, 17, f, 21612.0, 21449.998
10, 1, 18, f, 22940.0, 22749.998
10, 1, 19, f, 24077.0, 24050.0
10, 2, 7, f, 74587.0, 74450.0
10, 2, 8, f, 75922.0, 75750.0
10, 2, 9, f, 76939.0, 77050.0
10, 2, 10, f, 78531.0, 78350.0
10, 2, 11, f, 79817.0, 79650.0
10, 3, 35, f, 176928.0, 176850.0
10, 3, 36, f, 178150.0, 178150.0
10, 3, 37, f, 179408.0, 179450.0
10, 3, 38, f, 180940.0, 180750.0
10, 3, 39, f, 182009.0, 182050.0
10, 4, 13, f, 214427.0, 214250.0
10, 4, 14, f, 215713.0, 215550.0
10, 4, 15, f, 217034.0, 216850.0
10, 4, 16, f, 218316.0, 218150.0
10, 4, 17, f, 219278.0, 219450.0
10, 5, 23, f, 293352.0, 293250.0
10, 5, 24, f, 294734.0, 294550.0
10, 5, 25, f, 296014.0, 295850.0
10, 5, 26, f, 297344.0, 297150.0
10, 5, 27, f, 298458.0, 298450.0
10, 6, 7, f, 338319.0, 338450.0
10, 6, 8, f, 339959.0, 339750.0
10, 6, 9, f, 340971.0, 341050.0
10, 6, 10, f, 342484.0, 342350.0
10, 6, 11, f, 343813.0, 343650.0
10, 7, 34, f, 439434.0, 439550.0
10, 7, 35, f, 440846.0, 440850.0
10, 7, 36, f, 442323.0, 442150.0
10, 7, 37, f, 443654.0, 443450.0
10, 7, 38, f, 444928.0, 444750.0
10, 8, 37, f, 509593.0, 509450.0
10, 8, 38, f, 510956.0, 510750.0
10, 8, 39, f, 512231.03, 512050.0
10, 8, 40, f, 513443.97, 513349.97
10, 8, 41, f, 514852.0, 514650.03
10, 9, 20, f, 553537.0, 553350.0
10, 9, 21, f, 554538.0, 554650.0
10, 9, 22, f, 556152.0, 555950.0
10, 9, 23, f, 557155.0, 557250.0
10, 9, 24, f, 558621.0, 558550.0
10, 10, 23, f, 623380.0, 623250.0
10, 10, 24, f, 624734.0, 624550.0
10, 10, 25, f, 625878.0, 625850.0
10, 10, 26, f, 627068.0, 627150.0
10, 10, 27, f, 628419.0, 628450.0
10, 11, 36, f, 706325.0, 706150.0
10, 11, 37, f, 707641.0, 707450.0
10, 11, 38, f, 708748.0, 708750.0
10, 11, 39, f, 710214.0, 710050.0
10, 11, 40, f, 711534.0, 711350.0
10, 12, 1, f, 726084.0, 726650.0
10, 12, 2, f, 728094.0, 727950.0
10, 12, 3, f, 729444.0, 729250.0
10, 12, 4, f, 730710.0, 730550.0
10, 12, 5, f, 732024.0, 731850.0
10, 13, 15, f, 811034.0, 810850.0
10, 13, 16, f, 812079.0, 812150.0
10, 13, 17, f, 813262.0, 813450.0
10, 13, 18, f, 814828.0, 814750.0
10, 13, 19, f, 816132.0, 816050.0
10, 14, 5, f, 864032.0, 863850.0
10, 14, 6, f, 865182.0, 865150.0
10, 14, 7, f, 866427.0, 866450.0
10, 14, 8, f, 867940.0, 867750.0
10, 14, 9, f, 869143.0, 869050.0
10, 15, 33, f, 966420.0, 966250.0
10, 15, 34, f, 967685.0, 967550.0
10, 15, 35, f, 968937.0, 968850.0
10, 15, 36, f, 970336.0, 970150.0
10, 15, 37, f, 971474.0, 971450.0
10, 16, 33, f, 1032327.0, 1032250.0
10, 16, 34, f, 1033725.94, 1033550.06
10, 16, 35, f, 1035027.0, 1034850.0
10, 16, 36, f, 1036336.06, 1036150.0
10, 16, 37, f, 1037595.94, 1037449.94
10, 17, 18, f, 1078619.0, 1078750.0
10, 17, 19, f, 1080131.0, 1080050.0
10, 17, 20, f, 1081430.0, 1081350.0
10, 17, 21, f, 1082465.0, 1082650.0
10, 17, 22, f, 1083969.0, 1083950.0
10, 18, 3, f, 1125145.0, 1125250.0
10, 18, 4, f, 1126548.0, 1126550.0
10, 18, 5, f, 1128057.0, 1127850.0
10, 18, 6, f, 1129200.0, 1129150.0
10, 18, 7, f, 1130497.0, 1130450.0
