participant, trial, beat, response, rt, beat-time
11, 1, 20, f, 25524.0, 25349.998
11, 1, 21, f, 26670.0, 26650.0
11, 1, 22, f, 28190.0, 27949.998
11, 1, 23, f, 29478.0, 29249.998
11, 1, 24, f, 30815.0, 30550.0
11, 2, 45, f, 126059.0, 123850.0
11, 2, 46, f, 127496.0, 125149.99
11, 2, 47, f, 128886.99, 126450.0
11, 2, 48, f, 130868.0, 127750.0
11, 2, 49, f, 132279.0, 129050.0
11, 3, 32, f, 176948.0, 172950.0
11, 3, 33, f, 178207.0, 174250.0
11, 3, 34, f, 179926.0, 175550.0
11, 3, 35, f, 181120.0, 176850.0
11, 3, 36, f, 182464.0, 178150.0
11, 4, 31, f, 244625.0, 237650.0
11, 4, 32, f, 245711.0, 238950.0
11, 4, 33, f, 247075.0, 240250.0
11, 4, 34, f, 248592.0, 241550.0
11, 4, 35, f, 249981.0, 242850.0
11, 5, 7, f, 279425.0, 272450.0
11, 5, 8, f, 280455.0, 273750.0
11, 5, 9, f, 281947.0, 275050.0
11, 5, 10, f, 283247.0, 276350.0
11, 5, 11, f, 284546.0, 277650.0
11, 6, 14, f, 357140.0, 347550.0
11, 6, 15, f, 358430.0, 348850.0
11, 6, 16, f, 359723.0, 350150.0
11, 6, 17, f, 361007.0, 351450.0
11, 6, 18, f, 362184.0, 352750.0
11, 7, 14, f, 424336.0, 413550.0
11, 7, 15, f, 425626.0, 414850.0
11, 7, 16, f, 426808.0, 416150.0
11, 7, 17, f, 428123.0, 417450.0
11, 7, 18, f, 429620.0, 418750.0
11, 8, 38, f, 524274.0, 510750.0
11, 8, 39, f, 525613.0, 512050.0
11, 8, 40, f, 526900.0, 513349.97
11, 8, 41, f, 528183.0, 514650.03
11, 8, 42, f, 529517.0, 515950.0
11, 9, 22, f, 569320.0, 555950.0
11, 9, 23, f, 570656.0, 557250.0
11, 9, 24, f, 571935.0, 558550.0
11, 9, 25, f, 573227.0, 559850.0
11, 9, 26, f, 574465.0, 561150.0
11, 10, 29, f, 647059.0, 631050.0
11, 10, 30, f, 648288.0, 632350.0
11, 10, 31, f, 649511.0, 633650.0
11, 10, 32, f, 650881.0, 634950.0
11, 10, 33, f, 652185.0, 636250.0
11, 11, 39, f, 727355.0, 710050.0
11, 11, 40, f, 728539.0, 711350.0
11, 11, 41, f, 729927.0, 712650.0
11, 11, 42, f, 731657.0, 713950.0
11, 11, 43, f, 733000.0, 715250.0
11, 12, 43, f, 800186.0, 781250.0
11, 12, 44, f, 801403.0, 782550.0
11, 12, 45, f, 802727.0, 783850.0
11, 12, 46, f, 804115.0, 785150.0
11, 12, 47, f, 805517.0, 786450.0
11, 13, 26, f, 843425.0, 825150.0
11, 13, 27, f, 844624.0, 826450.0
11, 13, 28, f, 845999.0, 827750.0
11, 13, 29, f, 847463.0, 829050.0
11, 13, 30, f, 848664.0, 830350.0
11, 14, 44, f, 934358.0, 914550.0
11, 14, 45, f, 935743.0, 915850.0
11, 14, 46, f, 937039.0, 917150.0
11, 14, 47, f, 938550.0, 918450.0
11, 14, 48, f, 939992.0, 919750.0
11, 15, 31, f, 984594.0, 963650.0
11, 15, 32, f, 986117.0, 964950.0
11, 15, 33, f, 987658.0, 966250.0
11, 15, 34, f, 989168.0, 967550.0
11, 15, 35, f, 990396.0, 968850.0
11, 16, 8, f, 1021421.0, 999750.0
11, 16, 9, f, 1022774.0, 1001050.0
11, 16, 10, f, 1024089.94, 1002350.0
11, 16, 11, f, 1025428.0, 1003650.0
11, 16, 12, f, 1026719.0, 1004950.0
11, 17, 43, f, 1136745.0, 1111250.0
11, 17, 44, f, 1138019.0, 1112550.0
11, 17, 45, f, 1139528.0, 1113850.0
11, 17, 46, f, 1141110.0, 1115150.0
11, 17, 47, f, 1142360.0, 1116450.0
11, 18, 22, f, 1177219.0, 1149950.0
11, 18, 23, f, 1178430.0, 1151250.0
11, 18, 24, f, 1179848.0, 1152550.0
11, 18, 25, f, 1181299.0, 1153850.0
11, 18, 26, f, 1182503.0, 1155150.0
